Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,190.00,14.95,19.60,13.75,17.40,17.50,17.40,342.00,3812.32,303.40,1296000.00,-37800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,192.50,12.55,17.40,12.55,15.90,15.90,15.90,42.00,471.07,34.48,280800.00,16200.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,195.00,11.20,15.45,10.35,13.60,13.75,13.60,155.00,1740.04,107.89,869400.00,-162000.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,197.50,9.85,13.60,9.10,11.95,12.10,11.95,146.00,1645.34,88.25,199800.00,27000.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,200.00,8.05,12.10,7.55,10.30,10.40,10.30,3588.00,40663.30,1912.90,4033800.00,-469800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,202.50,7.40,10.70,6.50,8.90,8.80,8.90,462.00,5261.43,209.46,140400.00,-59400.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,205.00,6.40,9.25,5.45,7.60,7.65,7.60,1789.00,20517.78,713.55,1198800.00,-178200.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,207.50,5.40,7.95,4.80,6.50,6.55,6.50,1082.00,12496.03,372.22,513000.00,405000.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,210.00,4.05,6.90,3.75,5.45,5.45,5.45,4225.00,49165.48,1253.98,3769200.00,-259200.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,212.50,3.85,5.95,3.30,4.60,4.60,4.60,157.00,1841.97,40.39,151200.00,-10800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,215.00,3.10,5.15,2.65,3.80,3.80,3.80,1539.00,18200.04,332.25,2095200.00,-421200.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,217.50,2.80,4.30,2.25,3.10,3.15,3.10,260.00,3100.86,47.16,912600.00,-253800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,220.00,2.45,3.80,1.85,2.55,2.50,2.55,1735.00,20885.47,273.67,1328400.00,1112400.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,222.50,3.00,3.25,1.60,2.05,2.15,2.05,77.00,934.96,9.81,75600.00,75600.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,225.00,1.70,2.90,1.25,1.75,1.75,1.75,847.00,10389.87,98.82,1182600.00,415800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,227.50,1.55,2.45,1.10,1.45,1.45,1.45,403.00,4991.45,40.59,885600.00,529200.00,204.20
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,145.00,61.00,61.00,61.00,61.00,61.00,61.15,1.00,11.12,3.29,-,-5400.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,150.00,-,-,-,28.00,28.00,56.20,-,-,-,5400.00,-,205.55
